id,sugar_level,calories,weight,fat,food_color
413,40.68000000000001 gr,527 cal,1824.52 gr,0 gr,Coffee
414,109.66 gr,501 cal,810.4 gr,36 gr,Navy Blue
415,154.66 gr,554 cal,1250.85 gr,35 gr,
416,75.73000000000002 gr,343 cal,1255.05 gr,22 gr,Purple
417,95.47 gr,390 cal,1942.9 gr,28 gr,Sunset Yellow
418,147.92000000000002 gr,301 cal,1648.97 gr,,Coffee
419,175.26 gr,414 cal,1605.02 gr,16 gr,Coffee
420,46.02999999999999 gr,158 cal,1744.84 gr,11 gr,Sunset Yellow
421,102.19 gr,425 cal,,25 gr,Navy Blue
422,53.099999999999994 gr,289 cal,330.91 gr,3 gr,Lemon Yellow
423,120.05 gr,396 cal,1738.73 gr,34 gr,Lemon Yellow
424,90.86999999999999 gr,423 cal,685.01 gr,38 gr,Rose
425,37.07000000000001 gr,354 cal,77.48 gr,33 gr,Purple
426,54.92999999999999 gr,170 cal,703.57 gr,22 gr,Sunset Red
427,106.88 gr,152 cal,1801.2 gr,32 gr,Black
428,29.89 gr,219 cal,154.06 gr,8 gr,Lemon Yellow
429,133.68 gr,449 cal,1078.68 gr,17 gr,Sunset Red
430,114.39 gr,353 cal,1259.42 gr,24 gr,Navy Blue
431,134.83 gr,662 cal,1353.58 gr,16 gr,Green
432,66.16 gr,157 cal,1885.33 gr,22 gr,Green
433,82.46000000000001 gr,96 cal,1380.57 gr,6 gr,Purple
434,139.86 gr,756 cal,782.03 gr,39 gr,Coffee
435,88.42999999999999 gr,550 cal,1126.09 gr,27 gr,Sunset Yellow
436,-9.14 gr,192 cal,859.21 gr,,Rose
437,171.45999999999998 gr,443 cal,53.46 gr,29 gr,Green
438,119.33 gr,325 cal,851.45 gr,,Grass Green
439,112.27 gr,468 cal,453.11 gr,-6 gr,Rose
440,126.73 gr,567 cal,671.18 gr,22 gr,Grass Green
441,72.38 gr,382 cal,643.99 gr,26 gr,Green
442,98.53 gr,383 cal,1203.38 gr,22 gr,Sunset Yellow
443,113.63000000000001 gr,572 cal,1495.28 gr,27 gr,
444,153.87 gr,435 cal,1.88 gr,30 gr,Grass Green
445,114.08 gr,708 cal,524.24 gr,35 gr,Purple
446,119.07 gr,489 cal,520.9 gr,26 gr,Grass Green
447,127.66 gr,499 cal,656.77 gr,39 gr,Grass Green
448,47.599999999999994 gr,477 cal,246.68 gr,32 gr,Sunset Red
449,135.16 gr,359 cal,131.77 gr,29 gr,Navy Blue
450,-1.3400000000000034 gr,-10 cal,1216.73 gr,22 gr,Black
451,88.05999999999999 gr,122 cal,663.11 gr,8 gr,Green
452,88.13 gr,612 cal,1851.18 gr,41 gr,Grass Green
453,69.6 gr,364 cal,182.87 gr,34 gr,Lemon Yellow
454,75.28999999999999 gr,484 cal,1782.29 gr,21 gr,Grass Green
455,125.80000000000001 gr,646 cal,1989.57 gr,39 gr,Rose
456,97.94 gr,642 cal,909.87 gr,23 gr,Grass Green
457,133.81 gr,543 cal,1375.05 gr,23 gr,Purple
458,164.74 gr,607 cal,444.89 gr,29 gr,Coffee
459,129.87 gr,565 cal,801.69 gr,31 gr,Purple
460,114.74000000000001 gr,650 cal,672.78 gr,19 gr,Grass Green
461,143.06 gr,564 cal,1088.86 gr,33 gr,Purple
462,94.95 gr,742 cal,1008.7 gr,40 gr,Coffee
463,48.44 gr,54 cal,1622.79 gr,25 gr,Grass Green
464,186.93 gr,356 cal,1442.47 gr,33 gr,Sunset Yellow
465,167.12 gr,506 cal,1861.2 gr,37 gr,Lemon Yellow
466,88.45 gr,559 cal,604.37 gr,22 gr,Sunset Yellow
467,48.78999999999999 gr,380 cal,1376.83 gr,19 gr,Coffee
468,91.75 gr,526 cal,789.07 gr,30 gr,Green
469,124.58 gr,745 cal,1763.64 gr,23 gr,Navy Blue
470,77.63 gr,247 cal,1691.09 gr,32 gr,Coffee
471,94.25000000000001 gr,424 cal,798.58 gr,18 gr,Purple
472,14.530000000000001 gr,33 cal,498.04 gr,29 gr,Grass Green
473,77.87 gr,514 cal,1564.45 gr,0 gr,Purple
474,63.99 gr,703 cal,1761.34 gr,37 gr,Lemon Yellow
475,28.38000000000001 gr,221 cal,779.63 gr,33 gr,Coffee
476,163.65 gr,530 cal,1344.46 gr,21 gr,Rose
477,32.05 gr,,622.11 gr,43 gr,Coffee
478,103.87 gr,242 cal,315.58 gr,15 gr,Sunset Red
479,73.64999999999999 gr,70 cal,252.02 gr,18 gr,Black
480,-9.25 gr,276 cal,559.15 gr,-7 gr,Navy Blue
481,160.0 gr,467 cal,7.43 gr,41 gr,Navy Blue
482,125.58000000000001 gr,511 cal,1820.66 gr,30 gr,Rose
483,157.06 gr,417 cal,1071.03 gr,34 gr,Black
484,83.19 gr,124 cal,1703.18 gr,31 gr,Green
485,79.22999999999999 gr,574 cal,1710.78 gr,36 gr,Lemon Yellow
486,103.78 gr,504 cal,1951.25 gr,30 gr,Rose
487,52.76000000000002 gr,33 cal,708.44 gr,11 gr,Purple
488,58.03 gr,263 cal,1516.99 gr,-8 gr,Green
489,65.16999999999999 gr,322 cal,1532.55 gr,35 gr,Rose
490,14.700000000000003 gr,352 cal,1129.57 gr,-3 gr,Rose
491,122.66 gr,105 cal,944.76 gr,12 gr,Grass Green
492,58.72 gr,453 cal,22.78 gr,22 gr,Black
493,77.45000000000002 gr,164 cal,1791.01 gr,4 gr,Sunset Yellow
494,7.710000000000008 gr,68 cal,1653.71 gr,11 gr,Green
495,112.06000000000002 gr,422 cal,1414.3 gr,12 gr,Coffee
496,93.49999999999999 gr,454 cal,1653.91 gr,8 gr,Navy Blue
497,46.11 gr,251 cal,232.38 gr,-12 gr,Navy Blue
498,11.120000000000005 gr,142 cal,894.31 gr,22 gr,Purple
499,105.34 gr,194 cal,1393.49 gr,29 gr,Rose
500,53.8 gr,192 cal,1258.25 gr,,Sunset Red
501,136.31 gr,509 cal,355.27 gr,46 gr,
502,125.47999999999999 gr,503 cal,1371.91 gr,44 gr,Sunset Yellow
503,49.27999999999999 gr,478 cal,1291.96 gr,-8 gr,Sunset Red
504,122.05 gr,353 cal,1141.25 gr,34 gr,Lemon Yellow
505,132.46 gr,421 cal,1809.96 gr,13 gr,Navy Blue
506,142.52 gr,487 cal,290.38 gr,30 gr,Purple
507,127.69 gr,540 cal,1068.03 gr,41 gr,Sunset Red
508,113.53 gr,527 cal,540.27 gr,23 gr,Grass Green
509,103.74 gr,404 cal,1624.33 gr,32 gr,Green
510,62.92 gr,208 cal,411.26 gr,14 gr,Rose
511,122.81 gr,689 cal,16.17 gr,25 gr,Green
512,63.49000000000001 gr,-10 cal,1474.15 gr,17 gr,Rose
513,-0.8299999999999983 gr,348 cal,1184.29 gr,-3 gr,Sunset Red
514,82.36 gr,575 cal,151.14 gr,25 gr,Green
515,61.44000000000001 gr,59 cal,751.43 gr,18 gr,Coffee
516,149.26 gr,396 cal,509.55 gr,43 gr,Lemon Yellow
517,22.85000000000001 gr,469 cal,1684.36 gr,16 gr,Coffee
518,96.99000000000001 gr,451 cal,796.71 gr,22 gr,Purple
519,57.79 gr,690 cal,164.86 gr,20 gr,Navy Blue
520,139.71 gr,502 cal,1979.13 gr,28 gr,Rose
521,86.00999999999999 gr,421 cal,1421.44 gr,26 gr,Sunset Red
522,103.25999999999999 gr,618 cal,1021.15 gr,32 gr,Navy Blue
523,78.76999999999998 gr,88 cal,408.11 gr,8 gr,Navy Blue
524,140.06 gr,626 cal,1067.35 gr,20 gr,Sunset Yellow
525,103.85 gr,305 cal,1842.15 gr,45 gr,Lemon Yellow
526,127.34 gr,425 cal,794.68 gr,27 gr,Lemon Yellow
527,33.52999999999999 gr,414 cal,1625.13 gr,-12 gr,Sunset Red
528,85.96000000000001 gr,228 cal,1581.86 gr,29 gr,Rose
529,38.25 gr,226 cal,17.11 gr,14 gr,Purple
530,83.67999999999999 gr,355 cal,563.51 gr,27 gr,Lemon Yellow
531,69.32000000000001 gr,30 cal,1867.52 gr,24 gr,Lemon Yellow
532,140.29 gr,497 cal,1627.12 gr,38 gr,Grass Green
533,73.22 gr,594 cal,774.48 gr,31 gr,Sunset Red
534,86.42999999999999 gr,98 cal,944.42 gr,6 gr,Rose
535,13.870000000000005 gr,333 cal,1905.05 gr,19 gr,Green
536,114.36999999999999 gr,315 cal,1632.56 gr,26 gr,Black
537,102.35000000000001 gr,444 cal,523.18 gr,35 gr,Sunset Yellow
538,132.3 gr,614 cal,796.52 gr,28 gr,Purple
539,122.19 gr,470 cal,244.07 gr,18 gr,Lemon Yellow
540,135.14 gr,330 cal,1131.66 gr,14 gr,Navy Blue
541,89.02000000000001 gr,503 cal,998.97 gr,19 gr,Purple
542,124.84 gr,639 cal,474.82 gr,13 gr,Green
543,12.190000000000012 gr,434 cal,571.36 gr,38 gr,Lemon Yellow
544,82.5 gr,396 cal,888.88 gr,15 gr,Green
545,77.46000000000001 gr,102 cal,1070.55 gr,23 gr,Lemon Yellow
546,130.22 gr,751 cal,226.5 gr,30 gr,Sunset Red
547,135.32999999999998 gr,458 cal,1203.45 gr,19 gr,Black
548,73.02000000000001 gr,236 cal,294.68 gr,25 gr,Green
549,146.2 gr,488 cal,1709.12 gr,30 gr,Grass Green
550,92.67 gr,685 cal,233.03 gr,32 gr,Rose
551,119.18 gr,737 cal,1194.7 gr,31 gr,Coffee
552,109.84 gr,424 cal,344.51 gr,44 gr,Lemon Yellow
553,87.46000000000001 gr,446 cal,1030.99 gr,1 gr,Purple
554,23.61999999999999 gr,386 cal,882.7 gr,6 gr,Sunset Yellow
555,49.540000000000006 gr,77 cal,655.41 gr,23 gr,Black
556,48.36999999999999 gr,52 cal,893.9 gr,33 gr,Black
557,67.91999999999999 gr,293 cal,275.79 gr,15 gr,Coffee
558,43.10000000000001 gr,317 cal,788.5 gr,23 gr,Purple
559,66.63999999999999 gr,47 cal,1855.23 gr,17 gr,Sunset Red
560,3.049999999999997 gr,482 cal,17.43 gr,28 gr,Sunset Yellow
561,77.52000000000001 gr,315 cal,667.72 gr,31 gr,
562,58.3 gr,391 cal,1756.12 gr,-2 gr,Green
563,88.32 gr,281 cal,114.21 gr,35 gr,Green
564,-16.22999999999999 gr,435 cal,577.29 gr,-1 gr,Black
565,12.590000000000003 gr,423 cal,1506.42 gr,4 gr,Black
566,124.35 gr,765 cal,130.78 gr,34 gr,Sunset Red
567,25.03 gr,189 cal,1800.95 gr,9 gr,Sunset Red
568,78.27 gr,296 cal,143.24 gr,32 gr,Grass Green
569,77.32 gr,574 cal,1670.13 gr,16 gr,Green
570,110.87 gr,412 cal,780.43 gr,4 gr,Grass Green
571,80.47 gr,415 cal,1993.42 gr,43 gr,Green
572,-7.569999999999993 gr,414 cal,1229.24 gr,2 gr,Sunset Red
573,65.0 gr,553 cal,338.05 gr,44 gr,Navy Blue
574,25.440000000000012 gr,328 cal,1310.06 gr,-3 gr,Navy Blue
575,11.009999999999991 gr,40 cal,22.84 gr,23 gr,Sunset Red
576,16.75 gr,25 cal,532.01 gr,8 gr,Sunset Red
577,141.85 gr,539 cal,1968.76 gr,32 gr,Sunset Yellow
578,48.379999999999995 gr,281 cal,87.39 gr,3 gr,Rose
579,0.4000000000000057 gr,18 cal,686.05 gr,9 gr,Grass Green
580,26.319999999999993 gr,256 cal,1501.45 gr,9 gr,Black
581,53.86 gr,250 cal,1787.52 gr,14 gr,Black
582,67.25000000000001 gr,135 cal,1411.39 gr,2 gr,Coffee
583,131.85 gr,466 cal,1491.56 gr,43 gr,Green
584,106.72 gr,509 cal,791.26 gr,20 gr,Sunset Yellow
585,19.560000000000002 gr,165 cal,70.55 gr,11 gr,Purple
586,66.67000000000002 gr,233 cal,648.52 gr,14 gr,Green
587,150.85 gr,709 cal,1922.41 gr,21 gr,Purple
588,125.73 gr,511 cal,1845.75 gr,33 gr,
589,115.43 gr,691 cal,1081.46 gr,28 gr,Sunset Yellow
590,65.21000000000001 gr,298 cal,1340.13 gr,23 gr,Grass Green
591,113.37 gr,304 cal,351.26 gr,35 gr,Sunset Yellow
592,161.66 gr,286 cal,1624.59 gr,35 gr,Black
593,141.37 gr,263 cal,1798.21 gr,35 gr,Lemon Yellow
594,107.95 gr,627 cal,919.73 gr,24 gr,Green
595,162.25 gr,562 cal,476.0 gr,37 gr,Coffee
596,104.22 gr,236 cal,309.13 gr,2 gr,Lemon Yellow
597,97.5 gr,132 cal,1392.86 gr,11 gr,Purple
598,49.72999999999999 gr,416 cal,1184.21 gr,29 gr,Rose
599,88.65999999999998 gr,214 cal,492.39 gr,34 gr,Green
600,51.769999999999996 gr,330 cal,1131.11 gr,28 gr,Coffee
601,6.230000000000004 gr,389 cal,239.25 gr,5 gr,Lemon Yellow
602,148.22 gr,452 cal,1636.4 gr,19 gr,Navy Blue
603,125.24 gr,333 cal,1246.15 gr,39 gr,Green
604,92.03999999999999 gr,548 cal,617.94 gr,39 gr,Rose
605,150.45 gr,532 cal,1347.29 gr,28 gr,Grass Green
606,156.29000000000002 gr,531 cal,1078.8 gr,32 gr,Rose
607,130.64 gr,748 cal,1212.94 gr,37 gr,Navy Blue
608,34.110000000000014 gr,321 cal,329.33 gr,21 gr,Purple
609,167.13 gr,570 cal,1819.54 gr,40 gr,Black
610,90.72 gr,288 cal,959.04 gr,4 gr,Grass Green
611,104.83 gr,310 cal,1762.69 gr,13 gr,Coffee
612,78.04999999999998 gr,153 cal,1385.48 gr,8 gr,Sunset Red
613,95.75 gr,545 cal,648.86 gr,17 gr,Grass Green
614,57.61999999999999 gr,272 cal,606.11 gr,12 gr,Black
615,149.2 gr,772 cal,607.33 gr,27 gr,Lemon Yellow
616,108.13999999999999 gr,573 cal,717.88 gr,22 gr,Coffee
617,106.16 gr,443 cal,1548.29 gr,42 gr,Sunset Red
618,159.09 gr,392 cal,1872.62 gr,44 gr,Coffee
619,69.89999999999999 gr,121 cal,1967.34 gr,-5 gr,Sunset Yellow
620,116.56 gr,269 cal,1748.86 gr,28 gr,Sunset Red
621,70.8 gr,,1703.82 gr,18 gr,Purple
622,110.89 gr,432 cal,384.2 gr,-11 gr,Black
623,91.78999999999999 gr,249 cal,576.34 gr,46 gr,Grass Green
624,118.09 gr,580 cal,,33 gr,Sunset Yellow
625,97.28999999999999 gr,514 cal,1608.46 gr,28 gr,Sunset Red
626,85.1 gr,788 cal,800.44 gr,38 gr,Sunset Yellow
627,74.19999999999999 gr,114 cal,1531.36 gr,,Purple
628,130.71 gr,737 cal,1792.53 gr,40 gr,Navy Blue
629,75.89999999999999 gr,327 cal,151.78 gr,7 gr,Rose
630,103.30000000000001 gr,189 cal,1275.67 gr,19 gr,Sunset Yellow
631,162.78 gr,441 cal,1153.15 gr,23 gr,Sunset Yellow
632,-1.0 gr,482 cal,1277.63 gr,14 gr,Rose
633,125.39 gr,556 cal,922.23 gr,47 gr,Lemon Yellow
634,4.559999999999988 gr,232 cal,1756.42 gr,23 gr,Green
635,130.57 gr,573 cal,,33 gr,Coffee
636,90.91 gr,646 cal,1162.49 gr,26 gr,Coffee
637,59.62 gr,623 cal,297.16 gr,28 gr,Sunset Red
638,100.43 gr,408 cal,1029.22 gr,20 gr,Lemon Yellow
639,132.29000000000002 gr,455 cal,1587.85 gr,33 gr,
640,162.53 gr,538 cal,442.04 gr,18 gr,Black
641,153.69 gr,403 cal,457.5 gr,28 gr,Purple
642,73.61 gr,147 cal,1176.07 gr,30 gr,Navy Blue
643,88.18 gr,381 cal,1999.21 gr,24 gr,Sunset Red
644,142.62 gr,382 cal,164.55 gr,14 gr,Purple
645,150.54 gr,441 cal,294.72 gr,37 gr,Lemon Yellow
646,55.389999999999986 gr,25 cal,284.35 gr,32 gr,Coffee
647,123.27000000000001 gr,548 cal,98.25 gr,15 gr,Black
648,50.68000000000001 gr,228 cal,525.7 gr,20 gr,Grass Green
649,28.060000000000002 gr,277 cal,414.94 gr,-5 gr,Grass Green
650,51.540000000000006 gr,439 cal,243.41 gr,12 gr,Purple
651,114.75 gr,394 cal,501.27 gr,41 gr,Grass Green
652,62.05 gr,382 cal,1836.65 gr,35 gr,Lemon Yellow
653,139.64999999999998 gr,784 cal,1388.51 gr,17 gr,Navy Blue
654,8.89 gr,267 cal,1870.73 gr,12 gr,Sunset Yellow
655,108.41000000000001 gr,424 cal,1361.2 gr,18 gr,Sunset Red
656,40.84 gr,226 cal,1079.8 gr,20 gr,Purple
657,84.28999999999999 gr,101 cal,615.19 gr,27 gr,Grass Green
658,17.77000000000001 gr,291 cal,118.95 gr,-6 gr,Sunset Yellow
659,153.09 gr,335 cal,1299.24 gr,19 gr,Purple
660,97.53999999999999 gr,646 cal,1367.39 gr,21 gr,Navy Blue
661,2.5500000000000114 gr,292 cal,689.48 gr,7 gr,Lemon Yellow
662,-18.710000000000008 gr,454 cal,11.82 gr,22 gr,Grass Green
663,135.38 gr,553 cal,187.2 gr,36 gr,Black
664,97.54 gr,437 cal,1172.53 gr,31 gr,Sunset Yellow
665,148.44 gr,632 cal,1314.32 gr,29 gr,Rose
666,151.84 gr,572 cal,937.14 gr,42 gr,Purple
667,108.30000000000001 gr,387 cal,1038.34 gr,-5 gr,Sunset Red
668,87.81 gr,354 cal,1364.95 gr,32 gr,Navy Blue
669,80.28 gr,510 cal,400.84 gr,28 gr,Navy Blue
670,127.45 gr,711 cal,189.19 gr,23 gr,Grass Green
671,65.21 gr,354 cal,1114.44 gr,8 gr,Lemon Yellow
672,80.94 gr,408 cal,1441.08 gr,21 gr,Rose
673,112.2 gr,725 cal,804.92 gr,41 gr,Grass Green
674,79.71 gr,334 cal,1269.23 gr,21 gr,Green
675,2.9099999999999966 gr,176 cal,624.67 gr,16 gr,Lemon Yellow
676,74.94 gr,494 cal,1420.99 gr,-6 gr,Grass Green
677,50.58999999999999 gr,405 cal,1765.31 gr,-6 gr,Rose
678,67.62999999999998 gr,238 cal,1725.44 gr,4 gr,Rose
679,44.230000000000004 gr,474 cal,1342.38 gr,9 gr,Green
680,124.52 gr,74 cal,1600.78 gr,28 gr,Rose
681,129.45 gr,569 cal,1496.44 gr,35 gr,Green
682,92.36 gr,478 cal,649.86 gr,34 gr,Purple
683,64.12 gr,801 cal,1033.88 gr,35 gr,Coffee
684,28.289999999999992 gr,36 cal,461.9 gr,8 gr,Lemon Yellow
685,76.28 gr,50 cal,1129.13 gr,19 gr,Navy Blue
686,90.57 gr,460 cal,821.42 gr,23 gr,Grass Green
687,151.62 gr,770 cal,1420.31 gr,16 gr,Coffee
688,155.66 gr,447 cal,155.55 gr,25 gr,Grass Green
689,146.36 gr,566 cal,1654.68 gr,42 gr,Navy Blue
690,99.33 gr,675 cal,1281.41 gr,34 gr,Navy Blue
691,138.20999999999998 gr,468 cal,833.15 gr,22 gr,Grass Green
692,-2.1299999999999955 gr,224 cal,253.7 gr,-4 gr,Sunset Red
693,49.900000000000006 gr,222 cal,1425.7 gr,-2 gr,Purple
694,61.41 gr,340 cal,1417.54 gr,1 gr,Black
695,-27.230000000000004 gr,485 cal,1117.05 gr,14 gr,Grass Green
696,132.84 gr,481 cal,1266.06 gr,18 gr,Navy Blue
697,122.17 gr,448 cal,335.95 gr,48 gr,Rose
698,116.59 gr,683 cal,1639.75 gr,37 gr,Sunset Red
699,146.38 gr,430 cal,1539.41 gr,39 gr,Sunset Red
700,34.870000000000005 gr,369 cal,1726.49 gr,24 gr,Black
701,-12.670000000000002 gr,18 cal,434.25 gr,,Navy Blue
702,98.09 gr,653 cal,1753.3 gr,25 gr,Coffee
703,10.969999999999999 gr,361 cal,1596.74 gr,11 gr,Lemon Yellow
704,142.32999999999998 gr,526 cal,452.91 gr,22 gr,Rose
705,104.76000000000002 gr,427 cal,818.64 gr,33 gr,Navy Blue
706,84.61 gr,167 cal,924.73 gr,18 gr,Sunset Yellow
707,128.81 gr,450 cal,1653.98 gr,36 gr,Purple
708,146.24 gr,338 cal,134.57 gr,39 gr,Grass Green
709,89.94 gr,301 cal,1630.65 gr,36 gr,Sunset Yellow
710,136.67 gr,631 cal,961.84 gr,30 gr,Navy Blue
711,101.36 gr,578 cal,1547.12 gr,38 gr,Sunset Red
712,156.74 gr,499 cal,1586.54 gr,29 gr,Rose
713,47.3 gr,480 cal,1139.46 gr,19 gr,Lemon Yellow
714,45.48999999999998 gr,86 cal,1328.94 gr,19 gr,Green
715,171.53 gr,583 cal,883.02 gr,21 gr,Grass Green
716,48.69999999999999 gr,418 cal,1861.47 gr,14 gr,Navy Blue
717,44.09 gr,140 cal,1733.94 gr,21 gr,Black
718,46.03 gr,292 cal,621.63 gr,17 gr,Rose
719,150.8 gr,255 cal,1366.85 gr,34 gr,Grass Green
720,139.54 gr,538 cal,1164.15 gr,30 gr,Purple
721,125.83 gr,451 cal,1664.58 gr,30 gr,Rose
722,77.14999999999999 gr,380 cal,1809.21 gr,22 gr,Sunset Yellow
723,156.13 gr,464 cal,738.7 gr,26 gr,Sunset Red
724,72.28 gr,354 cal,1693.87 gr,10 gr,Sunset Yellow
725,100.41000000000001 gr,517 cal,1287.18 gr,30 gr,Coffee
726,36.49000000000001 gr,218 cal,1235.96 gr,19 gr,Grass Green
727,97.8 gr,462 cal,1309.99 gr,32 gr,Green
728,114.22 gr,412 cal,48.94 gr,25 gr,Purple
729,-2.1400000000000006 gr,311 cal,732.38 gr,17 gr,Green
730,23.400000000000006 gr,214 cal,183.19 gr,29 gr,Green
731,65.61000000000001 gr,6 cal,1066.98 gr,9 gr,Grass Green
732,51.129999999999995 gr,135 cal,377.2 gr,8 gr,Purple
733,169.19 gr,433 cal,1197.35 gr,38 gr,Green
734,57.400000000000006 gr,367 cal,1829.68 gr,-10 gr,Sunset Red
735,134.11 gr,599 cal,1156.02 gr,28 gr,Sunset Red
736,25.429999999999993 gr,158 cal,1882.17 gr,18 gr,Coffee
737,93.91 gr,652 cal,909.71 gr,38 gr,Green
738,69.19000000000001 gr,219 cal,256.83 gr,-4 gr,Black
739,63.83999999999999 gr,363 cal,1563.89 gr,5 gr,Black
740,75.59 gr,35 cal,1579.07 gr,7 gr,Lemon Yellow
741,39.44999999999999 gr,48 cal,1566.02 gr,3 gr,Purple
742,135.74 gr,572 cal,1613.05 gr,30 gr,Black
743,104.05 gr,431 cal,1479.3 gr,35 gr,Sunset Yellow
744,66.23000000000002 gr,443 cal,880.32 gr,6 gr,Lemon Yellow
745,129.34 gr,727 cal,768.0 gr,34 gr,Lemon Yellow
746,46.879999999999995 gr,246 cal,1682.57 gr,23 gr,Purple
747,180.96 gr,380 cal,1934.64 gr,29 gr,Black
748,115.53999999999999 gr,581 cal,108.78 gr,22 gr,Black
749,78.94999999999999 gr,429 cal,1609.23 gr,31 gr,Navy Blue
750,149.61 gr,746 cal,1185.01 gr,29 gr,Sunset Red
751,5.769999999999996 gr,225 cal,283.52 gr,21 gr,Sunset Yellow
752,109.11999999999999 gr,336 cal,1021.58 gr,25 gr,Rose
753,54.55 gr,630 cal,1927.46 gr,42 gr,Lemon Yellow
754,2.200000000000003 gr,289 cal,600.53 gr,23 gr,Green
755,112.72999999999999 gr,607 cal,899.22 gr,34 gr,Sunset Yellow
756,37.47 gr,349 cal,806.22 gr,4 gr,Navy Blue
757,138.81 gr,512 cal,1153.42 gr,35 gr,Black
758,43.89999999999999 gr,77 cal,881.73 gr,2 gr,Black
759,109.92 gr,729 cal,1569.27 gr,34 gr,Grass Green
760,149.1 gr,546 cal,1289.64 gr,38 gr,Green
761,-14.16000000000001 gr,321 cal,920.84 gr,25 gr,Sunset Red
762,142.64 gr,562 cal,423.93 gr,43 gr,Rose
763,22.709999999999994 gr,406 cal,338.54 gr,26 gr,Coffee
764,115.66 gr,535 cal,905.13 gr,32 gr,Rose
765,138.12 gr,359 cal,199.2 gr,32 gr,Sunset Yellow
766,118.93 gr,680 cal,163.12 gr,22 gr,Navy Blue
767,73.31 gr,628 cal,972.92 gr,21 gr,Purple
768,104.75999999999999 gr,564 cal,1849.48 gr,23 gr,Lemon Yellow
769,87.5 gr,116 cal,37.85 gr,13 gr,Lemon Yellow
770,,489 cal,1110.36 gr,17 gr,Sunset Yellow
771,77.44999999999999 gr,571 cal,1466.62 gr,34 gr,Rose
772,165.48000000000002 gr,584 cal,481.61 gr,26 gr,
773,63.14 gr,445 cal,750.91 gr,7 gr,Navy Blue
774,,224 cal,1951.16 gr,7 gr,Coffee
775,89.77999999999999 gr,146 cal,1799.07 gr,17 gr,Rose
776,123.42 gr,394 cal,64.08 gr,35 gr,Sunset Red
777,62.079999999999984 gr,368 cal,597.48 gr,27 gr,Rose
778,135.9 gr,476 cal,381.66 gr,34 gr,Navy Blue
779,65.96000000000001 gr,168 cal,726.91 gr,30 gr,
780,151.59 gr,590 cal,983.22 gr,26 gr,Sunset Yellow
781,116.36 gr,293 cal,1196.49 gr,32 gr,Lemon Yellow
782,64.38999999999999 gr,195 cal,383.67 gr,22 gr,Grass Green
783,49.38000000000001 gr,307 cal,377.61 gr,23 gr,Green
784,56.45999999999998 gr,177 cal,1079.05 gr,19 gr,Sunset Yellow
785,64.11 gr,409 cal,332.49 gr,32 gr,Sunset Red
786,141.95 gr,588 cal,1968.2 gr,25 gr,Navy Blue
787,73.28 gr,523 cal,1733.88 gr,14 gr,Purple
788,36.64 gr,292 cal,1190.54 gr,15 gr,Grass Green
789,140.85 gr,688 cal,907.25 gr,37 gr,Black
790,150.1 gr,277 cal,776.29 gr,21 gr,Black
791,124.13999999999999 gr,478 cal,961.35 gr,3 gr,Lemon Yellow
792,109.83000000000001 gr,371 cal,1965.89 gr,2 gr,Sunset Red
793,9.829999999999984 gr,477 cal,1557.93 gr,29 gr,Black
794,87.0 gr,503 cal,1447.84 gr,32 gr,Sunset Yellow
795,138.70999999999998 gr,663 cal,971.33 gr,16 gr,Grass Green
796,137.9 gr,502 cal,1459.06 gr,39 gr,Sunset Yellow
797,74.74 gr,133 cal,727.96 gr,19 gr,Navy Blue
798,115.61999999999999 gr,456 cal,1401.52 gr,32 gr,Coffee
799,127.41 gr,428 cal,704.43 gr,30 gr,Black
800,-6.659999999999997 gr,460 cal,519.73 gr,12 gr,Sunset Red
801,43.109999999999985 gr,367 cal,880.1 gr,2 gr,Navy Blue
802,71.94000000000001 gr,385 cal,988.2 gr,35 gr,Sunset Red
803,138.94 gr,431 cal,526.7 gr,24 gr,Coffee
804,117.06 gr,555 cal,1620.96 gr,34 gr,Black
805,97.5 gr,,502.97 gr,19 gr,Coffee
806,91.01 gr,298 cal,1213.56 gr,38 gr,Purple
807,70.86000000000001 gr,158 cal,583.06 gr,29 gr,Rose
808,111.89 gr,554 cal,1.03 gr,20 gr,Coffee
809,157.39 gr,495 cal,1131.67 gr,35 gr,Coffee
810,144.87 gr,,564.59 gr,24 gr,Lemon Yellow
811,124.09 gr,606 cal,1719.83 gr,41 gr,Sunset Red
812,100.88000000000001 gr,310 cal,137.73 gr,31 gr,Grass Green
813,139.18 gr,330 cal,1972.24 gr,45 gr,Black
814,117.33 gr,588 cal,468.19 gr,26 gr,Coffee
815,75.55 gr,96 cal,407.35 gr,12 gr,Sunset Yellow
816,132.94 gr,587 cal,446.67 gr,38 gr,Navy Blue
817,151.95 gr,544 cal,1291.93 gr,17 gr,Black
818,63.300000000000004 gr,477 cal,569.63 gr,39 gr,Rose
819,144.41 gr,461 cal,1972.81 gr,42 gr,Green
820,91.64000000000001 gr,305 cal,1270.95 gr,9 gr,Green
821,125.37 gr,693 cal,531.15 gr,43 gr,Coffee
822,103.32000000000001 gr,467 cal,382.15 gr,25 gr,Grass Green
823,27.52000000000001 gr,337 cal,951.85 gr,5 gr,Green
824,76.27000000000001 gr,417 cal,1338.37 gr,14 gr,Black
825,83.55000000000001 gr,210 cal,1885.01 gr,15 gr,Sunset Red
826,99.75 gr,387 cal,1075.89 gr,25 gr,Sunset Yellow
